target.gene_info.symbol,target.id,association_score.overall,association_score.datatypes.genetic_association,association_score.datatypes.somatic_mutation,association_score.datatypes.known_drug,association_score.datatypes.affected_pathway,association_score.datatypes.rna_expression,association_score.datatypes.literature,association_score.datatypes.animal_model,target.gene_info.name
IL2RA,ENSG00000134460,1.0,1.0,0.0,1.0,0.0,0.0,0.06095341819564231,0.0,interleukin 2 receptor subunit alpha
TNFRSF1A,ENSG00000067182,1.0,1.0,0.0,0.0,0.0,0.0,0.056002882547267034,0.0,TNF receptor superfamily member 1A
IL7R,ENSG00000168685,1.0,1.0,0.0,0.0,0.0,0.0,0.05895105222646364,0.0,interleukin 7 receptor
HLA-DRB1,ENSG00000196126,1.0,1.0,0.0,0.2,0.0,0.0,0.0976807941485151,0.0,"major histocompatibility complex, class II, DR beta 1"
CD86,ENSG00000114013,1.0,1.0,0.0,0.2611111111111111,0.0,0.0,0.05025828590624636,0.0,CD86 molecule
CD19,ENSG00000177455,1.0,0.0,0.0,1.0,0.0,0.0,0.06637507538665567,0.0,CD19 molecule
MS4A1,ENSG00000156738,1.0,0.0,0.0,1.0,0.0,0.0,0.06591042244629489,0.0,membrane spanning 4-domains A1
CD58,ENSG00000116815,1.0,1.0,0.0,0.0,0.0,0.0,0.06483733878089915,0.0,CD58 molecule
VDR,ENSG00000111424,1.0,0.0,0.0,1.0,0.0,0.0,0.05651204987893143,0.0,vitamin D receptor
S1PR1,ENSG00000170989,1.0,0.0,0.0,1.0,0.0,0.0,0.052914939737798886,0.0,sphingosine-1-phosphate receptor 1
ANKRD55,ENSG00000164512,1.0,1.0,0.0,0.0,0.0,0.0,0.05092666666666667,0.0,ankyrin repeat domain 55
HNRNPA1,ENSG00000135486,1.0,0.0,1.0,0.0,0.0,0.0,0.04965665998992189,0.0,heterogeneous nuclear ribonucleoprotein A1
PTGS2,ENSG00000073756,1.0,0.0,0.0,1.0,0.0,0.0,0.04945945105834275,0.0,prostaglandin-endoperoxide synthase 2
NR3C1,ENSG00000113580,1.0,0.0,0.0,1.0,0.0,0.0,0.04890854646415794,0.0,nuclear receptor subfamily 3 group C member 1
CNR1,ENSG00000118432,1.0,0.0,0.0,1.0,0.0,0.0,0.048019583151656046,0.0,cannabinoid receptor 1
CD52,ENSG00000169442,1.0,0.0,0.0,1.0,0.0,0.0,0.04752506163351246,0.0,CD52 molecule
NR1H3,ENSG00000025434,1.0,1.0,0.0,0.0,0.0,0.0,0.046109752771478975,0.0,nuclear receptor subfamily 1 group H member 3
IFNAR1,ENSG00000142166,1.0,0.0,0.0,1.0,0.0,0.0,0.045950016502897456,0.0,interferon alpha and beta receptor subunit 1
ITGA4,ENSG00000115232,1.0,0.0,0.0,1.0,0.0,0.0,0.04330474489795919,0.0,integrin subunit alpha 4
MMP7,ENSG00000137673,1.0,0.0,0.0,1.0,0.0,0.0,0.038979647959183676,0.0,matrix metallopeptidase 7
HMGCR,ENSG00000113161,1.0,0.0,0.0,1.0,0.0,0.0,0.03886721443535622,0.0,3-hydroxy-3-methylglutaryl-CoA reductase
MMP1,ENSG00000196611,1.0,0.0,0.0,1.0,0.0,0.0,0.035535444444444446,0.0,matrix metallopeptidase 1
IFNAR2,ENSG00000159110,1.0,0.0,0.0,1.0,0.0,0.0,0.03542155555555555,0.0,interferon alpha and beta receptor subunit 2
ACHE,ENSG00000087085,1.0,0.0,0.0,1.0,0.0,0.0,0.034632666666666666,0.0,acetylcholinesterase (Cartwright blood group)
TAGAP,ENSG00000164691,1.0,1.0,0.0,0.0,0.0,0.0,0.034168222222222225,0.0,T cell activation RhoGTPase activating protein
S1PR2,ENSG00000267534,1.0,0.0,0.0,1.0,0.0,0.0,0.03275555555555556,0.0,sphingosine-1-phosphate receptor 2
MMP8,ENSG00000118113,1.0,0.0,0.0,1.0,0.0,0.0,0.03214977777777778,0.0,matrix metallopeptidase 8
SCN10A,ENSG00000185313,1.0,8.45873960102675e-05,0.0,1.0,0.0,0.0,0.032,0.0,sodium voltage-gated channel alpha subunit 10
RGS1,ENSG00000090104,1.0,1.0,0.0,0.0,0.0,0.0,0.03157577777777778,0.0,regulator of G protein signaling 1
TRPV1,ENSG00000196689,1.0,0.0,0.0,1.0,0.0,0.0,0.030197222222222226,0.0,transient receptor potential cation channel subfamily V member 1
KCNH7,ENSG00000184611,1.0,0.0,0.0,1.0,0.0,0.0,0.027000000000000003,0.0,potassium voltage-gated channel subfamily H member 7
GRIN2B,ENSG00000273079,1.0,0.0,0.0,1.0,0.0,0.0,0.024800000000000003,0.0,glutamate ionotropic receptor NMDA type subunit 2B
AHI1,ENSG00000135541,1.0,1.0,0.0,0.0,0.0,0.0,0.024800000000000003,0.0,Abelson helper integration site 1
KCNA3,ENSG00000177272,1.0,0.0,0.0,1.0,0.0,0.0,0.0244,0.0,potassium voltage-gated channel subfamily A member 3
S1PR5,ENSG00000180739,1.0,0.0,0.0,1.0,0.0,0.0,0.02221171995464853,0.0,sphingosine-1-phosphate receptor 5
HRH1,ENSG00000196639,1.0,0.0,0.0,1.0,0.0,0.0,0.0176,0.0,histamine receptor H1
PTGS1,ENSG00000095303,1.0,0.0,0.0,1.0,0.0,0.0,0.015172222222222222,0.0,prostaglandin-endoperoxide synthase 1
DHODH,ENSG00000102967,1.0,0.0,0.0,1.0,0.0,0.0,0.013900000000000001,0.0,dihydroorotate dehydrogenase (quinone)
HRH2,ENSG00000113749,1.0,0.0,0.0,1.0,0.0,0.0,0.013400000000000002,0.0,histamine receptor H2
